Time resolution is 1 ps
 5 + 12 =         17 
 5 + 13 =         18 
 5 + 14 =         19 
 5 + 15 =         20 
 6 +  0 =          6 
 6 +  1 =          7 
 6 +  2 =          8 
 6 +  3 =          9 
 6 +  4 =         10 
 6 +  5 =         11 
 6 +  6 =         12 
 6 +  7 =         13 
 6 +  8 =         14 
 6 +  9 =         15 
 6 + 10 =         16 
 6 + 11 =         17 
 6 + 12 =         18 
 6 + 13 =         19 
 6 + 14 =         20 
 6 + 15 =         21 
 7 +  0 =          7 
 7 +  1 =          8 
 7 +  2 =          9 
 7 +  3 =         10 
 7 +  4 =         11 
 7 +  5 =         12 
 7 +  6 =         13 
 7 +  7 =         14 
 7 +  8 =         15 
 7 +  9 =         16 
 7 + 10 =         17 
 7 + 11 =         18 
 7 + 12 =         19 
 7 + 13 =         20 
 7 + 14 =         21 
 7 + 15 =         22 
 8 +  0 =          8 
 8 +  1 =          9 
 8 +  2 =         10 
 8 +  3 =         11 
 8 +  4 =         12 
 8 +  5 =         13 
 8 +  6 =         14 
 8 +  7 =         15 
 8 +  8 =         16 
 8 +  9 =         17 
 8 + 10 =         18 
 8 + 11 =         19 
 8 + 12 =         20 
 8 + 13 =         21 
 8 + 14 =         22 
 8 + 15 =         23 
 9 +  0 =          9 
 9 +  1 =         10 
 9 +  2 =         11 
 9 +  3 =         12 
 9 +  4 =         13 
 9 +  5 =         14 
 9 +  6 =         15 
 9 +  7 =         16 
 9 +  8 =         17 
 9 +  9 =         18 
 9 + 10 =         19 
 9 + 11 =         20 
 9 + 12 =         21 
 9 + 13 =         22 
 9 + 14 =         23 
 9 + 15 =         24 
10 +  0 =         10 
10 +  1 =         11 
10 +  2 =         12 
10 +  3 =         13 
10 +  4 =         14 
10 +  5 =         15 
10 +  6 =         16 
10 +  7 =         17 
10 +  8 =         18 
10 +  9 =         19 
10 + 10 =         20 
10 + 11 =         21 
10 + 12 =         22 
10 + 13 =         23 
10 + 14 =         24 
10 + 15 =         25 
11 +  0 =         11 
11 +  1 =         12 
11 +  2 =         13 
11 +  3 =         14 
11 +  4 =         15 
11 +  5 =         16 
11 +  6 =         17 
11 +  7 =         18 
11 +  8 =         19 
11 +  9 =         20 
11 + 10 =         21 
11 + 11 =         22 
11 + 12 =         23 
11 + 13 =         24 
11 + 14 =         25 
11 + 15 =         26 
12 +  0 =         12 
12 +  1 =         13 
12 +  2 =         14 
12 +  3 =         15 
12 +  4 =         16 
12 +  5 =         17 
12 +  6 =         18 
12 +  7 =         19 
12 +  8 =         20 
12 +  9 =         21 
12 + 10 =         22 
12 + 11 =         23 
12 + 12 =         24 
12 + 13 =         25 
12 + 14 =         26 
12 + 15 =         27 
13 +  0 =         13 
13 +  1 =         14 
13 +  2 =         15 
13 +  3 =         16 
13 +  4 =         17 
13 +  5 =         18 
13 +  6 =         19 
13 +  7 =         20 
13 +  8 =         21 
13 +  9 =         22 
13 + 10 =         23 
13 + 11 =         24 
13 + 12 =         25 
13 + 13 =         26 
13 + 14 =         27 
13 + 15 =         28 
14 +  0 =         14 
14 +  1 =         15 
14 +  2 =         16 
14 +  3 =         17 
14 +  4 =         18 
14 +  5 =         19 
14 +  6 =         20 
14 +  7 =         21 
14 +  8 =         22 
14 +  9 =         23 
14 + 10 =         24 
14 + 11 =         25 
14 + 12 =         26 
14 + 13 =         27 
14 + 14 =         28 
14 + 15 =         29 
15 +  0 =         15 
15 +  1 =         16 
15 +  2 =         17 
15 +  3 =         18 
15 +  4 =         19 
15 +  5 =         20 
15 +  6 =         21 
15 +  7 =         22 
15 +  8 =         23 
15 +  9 =         24 
15 + 10 =         25 
15 + 11 =         26 
15 + 12 =         27 
15 + 13 =         28 
15 + 14 =         29 
15 + 15 =         30 
 0 -  0 =  0 negative = 1
 0 -  1 =  1 negative = 1
 0 -  2 =  2 negative = 1
 0 -  3 =  3 negative = 1
 0 -  4 =  4 negative = 1
 0 -  5 =  5 negative = 1
 0 -  6 =  6 negative = 1
 0 -  7 =  7 negative = 1
 0 -  8 =  8 negative = 1
 0 -  9 =  9 negative = 1
 0 - 10 = 10 negative = 1
 0 - 11 = 11 negative = 1
 0 - 12 = 12 negative = 1
 0 - 13 = 13 negative = 1
 0 - 14 = 14 negative = 1
 0 - 15 = 15 negative = 1
 1 -  0 =  1 negative = 0
 1 -  1 =  0 negative = 1
 1 -  2 =  1 negative = 1
 1 -  3 =  2 negative = 1
 1 -  4 =  3 negative = 1
 1 -  5 =  4 negative = 1
 1 -  6 =  5 negative = 1
 1 -  7 =  6 negative = 1
 1 -  8 =  7 negative = 1
 1 -  9 =  8 negative = 1
 1 - 10 =  9 negative = 1
 1 - 11 = 10 negative = 1
 1 - 12 = 11 negative = 1
 1 - 13 = 12 negative = 1
 1 - 14 = 13 negative = 1
 1 - 15 = 14 negative = 1
 2 -  0 =  2 negative = 0
 2 -  1 =  1 negative = 0
 2 -  2 =  0 negative = 1
 2 -  3 =  1 negative = 1
 2 -  4 =  2 negative = 1
 2 -  5 =  3 negative = 1
 2 -  6 =  4 negative = 1
 2 -  7 =  5 negative = 1
 2 -  8 =  6 negative = 1
 2 -  9 =  7 negative = 1
 2 - 10 =  8 negative = 1
 2 - 11 =  9 negative = 1
 2 - 12 = 10 negative = 1
 2 - 13 = 11 negative = 1
 2 - 14 = 12 negative = 1
 2 - 15 = 13 negative = 1
 3 -  0 =  3 negative = 0
 3 -  1 =  2 negative = 0
 3 -  2 =  1 negative = 0
 3 -  3 =  0 negative = 1
 3 -  4 =  1 negative = 1
 3 -  5 =  2 negative = 1
 3 -  6 =  3 negative = 1
 3 -  7 =  4 negative = 1
 3 -  8 =  5 negative = 1
 3 -  9 =  6 negative = 1
 3 - 10 =  7 negative = 1
 3 - 11 =  8 negative = 1
 3 - 12 =  9 negative = 1
 3 - 13 = 10 negative = 1
 3 - 14 = 11 negative = 1
 3 - 15 = 12 negative = 1
 4 -  0 =  4 negative = 0
 4 -  1 =  3 negative = 0
 4 -  2 =  2 negative = 0
 4 -  3 =  1 negative = 0
 4 -  4 =  0 negative = 1
 4 -  5 =  1 negative = 1
 4 -  6 =  2 negative = 1
 4 -  7 =  3 negative = 1
 4 -  8 =  4 negative = 1
 4 -  9 =  5 negative = 1
 4 - 10 =  6 negative = 1
 4 - 11 =  7 negative = 1
 4 - 12 =  8 negative = 1
 4 - 13 =  9 negative = 1
 4 - 14 = 10 negative = 1
 4 - 15 = 11 negative = 1
 5 -  0 =  5 negative = 0
 5 -  1 =  4 negative = 0
 5 -  2 =  3 negative = 0
 5 -  3 =  2 negative = 0
 5 -  4 =  1 negative = 0
 5 -  5 =  0 negative = 1
 5 -  6 =  1 negative = 1
 5 -  7 =  2 negative = 1
 5 -  8 =  3 negative = 1
 5 -  9 =  4 negative = 1
 5 - 10 =  5 negative = 1
 5 - 11 =  6 negative = 1
 5 - 12 =  7 negative = 1
 5 - 13 =  8 negative = 1
 5 - 14 =  9 negative = 1
 5 - 15 = 10 negative = 1
 6 -  0 =  6 negative = 0
 6 -  1 =  5 negative = 0
 6 -  2 =  4 negative = 0
 6 -  3 =  3 negative = 0
 6 -  4 =  2 negative = 0
 6 -  5 =  1 negative = 0
 6 -  6 =  0 negative = 1
 6 -  7 =  1 negative = 1
 6 -  8 =  2 negative = 1
 6 -  9 =  3 negative = 1
 6 - 10 =  4 negative = 1
 6 - 11 =  5 negative = 1
 6 - 12 =  6 negative = 1
 6 - 13 =  7 negative = 1
 6 - 14 =  8 negative = 1
 6 - 15 =  9 negative = 1
 7 -  0 =  7 negative = 0
 7 -  1 =  6 negative = 0
 7 -  2 =  5 negative = 0
 7 -  3 =  4 negative = 0
 7 -  4 =  3 negative = 0
 7 -  5 =  2 negative = 0
 7 -  6 =  1 negative = 0
 7 -  7 =  0 negative = 1
 7 -  8 =  1 negative = 1
 7 -  9 =  2 negative = 1
 7 - 10 =  3 negative = 1
 7 - 11 =  4 negative = 1
 7 - 12 =  5 negative = 1
 7 - 13 =  6 negative = 1
 7 - 14 =  7 negative = 1
 7 - 15 =  8 negative = 1
 8 -  0 =  8 negative = 0
 8 -  1 =  7 negative = 0
 8 -  2 =  6 negative = 0
 8 -  3 =  5 negative = 0
 8 -  4 =  4 negative = 0
 8 -  5 =  3 negative = 0
 8 -  6 =  2 negative = 0
 8 -  7 =  1 negative = 0
 8 -  8 =  0 negative = 1
 8 -  9 =  1 negative = 1
 8 - 10 =  2 negative = 1
 8 - 11 =  3 negative = 1
 8 - 12 =  4 negative = 1
 8 - 13 =  5 negative = 1
 8 - 14 =  6 negative = 1
 8 - 15 =  7 negative = 1
 9 -  0 =  9 negative = 0
 9 -  1 =  8 negative = 0
 9 -  2 =  7 negative = 0
 9 -  3 =  6 negative = 0
 9 -  4 =  5 negative = 0
 9 -  5 =  4 negative = 0
 9 -  6 =  3 negative = 0
 9 -  7 =  2 negative = 0
 9 -  8 =  1 negative = 0
 9 -  9 =  0 negative = 1
 9 - 10 =  1 negative = 1
 9 - 11 =  2 negative = 1
 9 - 12 =  3 negative = 1
 9 - 13 =  4 negative = 1
 9 - 14 =  5 negative = 1
 9 - 15 =  6 negative = 1
10 -  0 = 10 negative = 0
10 -  1 =  9 negative = 0
10 -  2 =  8 negative = 0
10 -  3 =  7 negative = 0
10 -  4 =  6 negative = 0
10 -  5 =  5 negative = 0
10 -  6 =  4 negative = 0
10 -  7 =  3 negative = 0
10 -  8 =  2 negative = 0
10 -  9 =  1 negative = 0
10 - 10 =  0 negative = 1
10 - 11 =  1 negative = 1
10 - 12 =  2 negative = 1
10 - 13 =  3 negative = 1
10 - 14 =  4 negative = 1
10 - 15 =  5 negative = 1
11 -  0 = 11 negative = 0
11 -  1 = 10 negative = 0
11 -  2 =  9 negative = 0
11 -  3 =  8 negative = 0
11 -  4 =  7 negative = 0
11 -  5 =  6 negative = 0
11 -  6 =  5 negative = 0
11 -  7 =  4 negative = 0
11 -  8 =  3 negative = 0
11 -  9 =  2 negative = 0
11 - 10 =  1 negative = 0
11 - 11 =  0 negative = 1
11 - 12 =  1 negative = 1
11 - 13 =  2 negative = 1
11 - 14 =  3 negative = 1
11 - 15 =  4 negative = 1
12 -  0 = 12 negative = 0
12 -  1 = 11 negative = 0
12 -  2 = 10 negative = 0
12 -  3 =  9 negative = 0
12 -  4 =  8 negative = 0
12 -  5 =  7 negative = 0
12 -  6 =  6 negative = 0
12 -  7 =  5 negative = 0
12 -  8 =  4 negative = 0
12 -  9 =  3 negative = 0
12 - 10 =  2 negative = 0
12 - 11 =  1 negative = 0
12 - 12 =  0 negative = 1
12 - 13 =  1 negative = 1
12 - 14 =  2 negative = 1
12 - 15 =  3 negative = 1
13 -  0 = 13 negative = 0
13 -  1 = 12 negative = 0
13 -  2 = 11 negative = 0
13 -  3 = 10 negative = 0
13 -  4 =  9 negative = 0
13 -  5 =  8 negative = 0
13 -  6 =  7 negative = 0
13 -  7 =  6 negative = 0
13 -  8 =  5 negative = 0
13 -  9 =  4 negative = 0
13 - 10 =  3 negative = 0
13 - 11 =  2 negative = 0
13 - 12 =  1 negative = 0
13 - 13 =  0 negative = 1
13 - 14 =  1 negative = 1
13 - 15 =  2 negative = 1
14 -  0 = 14 negative = 0
14 -  1 = 13 negative = 0
14 -  2 = 12 negative = 0
14 -  3 = 11 negative = 0
14 -  4 = 10 negative = 0
14 -  5 =  9 negative = 0
14 -  6 =  8 negative = 0
14 -  7 =  7 negative = 0
14 -  8 =  6 negative = 0
14 -  9 =  5 negative = 0
14 - 10 =  4 negative = 0
14 - 11 =  3 negative = 0
14 - 12 =  2 negative = 0
14 - 13 =  1 negative = 0
14 - 14 =  0 negative = 1
14 - 15 =  1 negative = 1
15 -  0 = 15 negative = 0
15 -  1 = 14 negative = 0
15 -  2 = 13 negative = 0
15 -  3 = 12 negative = 0
15 -  4 = 11 negative = 0
15 -  5 = 10 negative = 0
15 -  6 =  9 negative = 0
15 -  7 =  8 negative = 0
15 -  8 =  7 negative = 0
15 -  9 =  6 negative = 0
15 - 10 =  5 negative = 0
15 - 11 =  4 negative = 0
15 - 12 =  3 negative = 0
15 - 13 =  2 negative = 0
15 - 14 =  1 negative = 0
15
